,,,,,,,
FantasyPros.com , ,,,,,,
Week 2 - K Rankings , ,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Stephen Gostkowski,NE,  at  MIN,1,1,1,0
2,Steven Hauschka,SEA,  at  SD,2,4,2.5454545455,0.6555547774
3,Justin Tucker,BAL,  vs.  PIT,2,13,3.8181818182,2.9792672015
4,Mason Crosby,GB,  vs.  NYJ,2,9,4.4545454545,1.7768018442
5,Phil Dawson,SF,  vs.  CHI,4,8,5.0909090909,1.0833068443
6,Dan Bailey,DAL,  at  TEN,4,8,6.0909090909,0.9958591955
7,Adam Vinatieri,IND,  vs.  PHI,6,11,7.8181818182,1.5850541613
8,Nick Novak,SD,  vs.  SEA,6,11,8.1818181818,1.3360853142
9,Matt Bryant,ATL,  at  CIN,5,13,9.5454545455,2.3105936413
10,Blair Walsh,MIN,  vs.  NE,8,14,10,1.7056057308
11,Robbie Gould,CHI,  at  SF,10,12,10.7272727273,0.7496555683
12,Shayne Graham,FA,,2,18,11.4545454545,3.9164834961
13,Cody Parkey,PHI,  at  IND,8,16,13.1,1.9723082923
14,Nick Folk,NYJ,  at  GB,11,22,15.4545454545,3.4997048282
15,Matt Prater,DET,  at  CAR,5,22,13.75,4.7893110152
16,Greg Zuerlein,STL,  at  TB,12,24,16.8181818182,3.2702010452
17,Mike Nugent,CIN,  vs.  ATL,14,20,16.1428571429,1.9587584573
18,Sebastian Janikowski,OAK,  vs.  HOU,14,25,18.5,3.5
19,Nate Freese,FA,,15,21,17.7777777778,1.8121673811
20,Dan Carpenter,BUF,  vs.  MIA,15,21,18.3,1.9519221296
21,Graham Gano,CAR,  vs.  DET,15,25,18.8888888889,2.6434171674
22,Ryan Succop,TEN,  vs.  DAL,16,28,21.75,3.7666297933
23,Caleb Sturgis,MIA,  at  BUF,16,23,20.25,2.9474565306
24,Alex Henery,FA,,18,19,18.5,0.5
25,Kai Forbath,WAS,  vs.  JAC,19,31,25,4.9396356141
26,Chandler Catanzaro,ARI,  at  NYG,21,32,24.5,4.3874821937
27,Patrick Murray,TB,  vs.  STL,23,29,26.25,2.1650635095
28,Josh Brown,NYG,  vs.  ARI,24,30,28,2.3452078799
29,Cairo Santos,KC,  at  DEN,26,32,29.25,2.7726341266
30,Randy Bullock,HOU,  at  OAK,26,30,28.5,1.6583123952
31,Billy Cundiff,FA,,27,32,29.75,1.920286437
32,Josh Scobee,JAC,  at  WAS,28,31,29.5,1.5
33,Brandon McManus,DEN,  vs.  KC,33,33,33,0
