,,,,,,,,
FantasyPros.com , ,,,,,,,
2015 Preseason - QB Rankings , ,,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,,
,,,,,,,,
 Rank , Player Name ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Andrew Luck,IND,10,1,2,1.3777777778,0.4848316495,1
2,Aaron Rodgers,GB,7,1,3,1.6444444444,0.5230489909,2
3,Russell Wilson,SEA,9,3,9,3.8888888889,1.5379961309,3
4,Peyton Manning,DEN,7,3,13,4.6222222222,1.7034460353,4
5,Drew Brees,NO,11,3,10,5.6444444444,1.9454283225,5
6,Ben Roethlisberger,PIT,11,2,10,5.8222222222,1.5956731619,6
7,Cam Newton,CAR,5,4,12,7.3333333333,2.0110804172,9
8,Matt Ryan,ATL,10,3,11,7.7111111111,1.4999588472,7
9,Tony Romo,DAL,6,6,16,8.9333333333,2.0912516188,8
10,Eli Manning,NYG,11,7,19,10.8222222222,2.1938184761,12
11,Ryan Tannehill,MIA,5,7,22,11.2,2.7776888875,13
12,Matthew Stafford,DET,9,3,16,12.1111111111,2.3496782023,10
13,Philip Rivers,SD,10,9,17,13.0222222222,1.7699829113,14
14,Tom Brady,NE,4,6,28,14.1777777778,4.5229729107,11
15,Colin Kaepernick,SF,10,10,24,16.3333333333,3.0184617127,17
16,Teddy Bridgewater,MIN,5,11,21,16.6444444444,2.0886524689,15
17,Sam Bradford,PHI,8,12,28,17.2888888889,3.3374789036,18
18,Joe Flacco,BAL,9,10,28,18.7555555556,3.2328560167,16
19,Carson Palmer,ARI,9,13,24,18.9111111111,2.7147516541,22
20,Jay Cutler,CHI,7,13,25,19.2,2.5785439474,20
21,Andy Dalton,CIN,7,14,29,21.2222222222,2.9279411719,25
22,Jameis Winston,TB,6,15,28,21.9333333333,2.9844039047,19
23,Robert Griffin III,WAS,8,12,29,23.1333333333,3.1594654963,27
24,Marcus Mariota,TEN,4,15,31,24.1777777778,3.6835302444,21
25,Alex Smith,KC,9,18,32,24.2666666667,3.0287511178,23
26,Derek Carr,OAK,6,16,30,25.1777777778,2.8774131043,26
27,Blake Bortles,JAC,8,19,29,25.7111111111,2.3722677591,28
28,Nick Foles,STL,6,22,33,26.6444444444,2.4143603299,24
29,Geno Smith,NYJ,5,23,37,30.0769230769,3.7851573512,
30,Ryan Fitzpatrick,NYJ,5,24,39,30.8611111111,3.3677620147,
31,Mark Sanchez,PHI,8,25,38,34.3461538462,3.0877214364,
32,E.J. Manuel,BUF,8,26,42,34.4,3.9191835885,
33,Brian Hoyer,HOU,9,27,39,31.7352941176,2.3553296701,
34,Josh McCown,CLE,11,28,38,31.0476190476,1.9142620231,29
35,Tyrod Taylor,BUF,8,29,41,35.6363636364,2.7559102529,
36,Matt Cassel,BUF,8,29,39,33.3870967742,2.8700614735,
37,Ryan Mallett,HOU,9,29,37,33.3529411765,2.3374489984,
38,Johnny Manziel,CLE,11,30,40,35.625,2.9127950494,
39,Zach Mettenberger,TEN,4,32,46,39.5625,3.4994419198,
40,Jimmy Garoppolo,NE,4,32,40,34.3333333333,1.9930434572,
41,Kirk Cousins,WAS,8,34,43,38.8888888889,2.4695678634,
42,Colt McCoy,WAS,8,35,59,46,8.2865352631,
43,Mike Glennon,TB,6,36,48,42.6,2.9393876913,
44,Shaun Hill,MIN,5,37,68,50.8,13.1209755735,
45,Derek Anderson,CAR,5,37,55,50,6.8068592856,
46,Drew Stanton,ARI,9,39,58,47.3333333333,7.249521057,
47,Chad Henne,JAC,8,39,49,45.75,3.3071891388,
48,Brock Osweiler,DEN,7,39,49,41.6666666667,3.0550504633,
49,Tim Tebow,PHI,8,40,81,55.6666666667,18.0800688298,
50,Jimmy Clausen,CHI,7,40,50,45.1666666667,3.5316033501,
51,Matt Hasselbeck,IND,10,42,53,49.5,4.3874821937,
52,Austin Davis,STL,6,43,57,45.8571428571,4.7337261502,
53,Scott Tolzien,GB,7,44,72,55.6666666667,11.8977121984,
54,Matt Moore,MIA,5,44,66,56,7.8421935707,
55,Brett Hundley,GB,7,45,77,56,13.0766968306,
56,Chase Daniel,KC,9,45,62,53.5,8.5,
57,Matt Schaub,BAL,9,45,54,47.75,3.6314597616,
58,Christian Ponder,OAK,6,47,76,55,12.1449578015,
59,Matt McGloin,OAK,6,47,63,55,8,
60,Taylor Yates,ATL,10,48,70,59.3333333333,8.9938250422,
61,Brandon Weeden,DAL,6,48,59,53.3333333333,3.9860869144,
62,AJ McCarron,CIN,7,49,67,55,7.1763500472,
63,Case Keenum,STL,6,50,90,70,20,
64,Garrett Grayson,NO,11,50,75,57.5,10.1612007165,
65,Tom Savage,HOU,9,50,62,56,6,
66,Bryce Petty,NYJ,5,50,58,53.25,3.1124748995,
67,Kellen Clemens,SD,10,51,65,58,7,
68,Sean Mannion,STL,6,52,82,60.25,12.5772612281,
69,Bruce Gradkowski,PIT,11,56,60,58,2,
70,Logan Thomas,ARI,9,58,80,69,11,
71,Luke McCown,NO,11,59,63,61,2,
72,Blaine Gabbert,SF,10,61,70,65.5,4.5,
73,Dan Orlovsky,DET,9,64,69,66.5,2.5,
74,Tarvaris Jackson,SEA,9,64,67,65.5,1.5,
75,Ryan Nassib,NYG,11,69,73,71,2,
