,,,,,,,
FantasyPros.com , ,,,,,,
Week 2 - RB Rankings , ,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,LeSean McCoy,BUF,  vs.  MIA,1,5,2.0909090909,1.5048132143
2,Jamaal Charles,KC,  at  DEN,1,5,2.4545454545,1.0756508697
3,Adrian Peterson,MIN,  vs.  NE,1,5,2.8181818182,1.2662171161
4,Matt Forte,CHI,  at  SF,3,6,3.7272727273,0.9620913858
5,Marshawn Lynch,SEA,  at  SD,1,9,4.7272727273,2.0041279714
6,DeMarco Murray,PHI,  at  IND,5,9,6.9090909091,1.0833068443
7,Montee Ball,DEN,  vs.  KC,6,9,7.1818181818,0.9359663765
8,Eddie Lacy,GB,  vs.  NYJ,3,14,7.8181818182,2.7901835006
9,Le'Veon Bell,PIT,  at  BAL,6,13,8.8181818182,1.6958871006
10,Arian Foster,HOU,  at  OAK,8,12,10,1.1281521496
11,Giovani Bernard,CIN,  vs.  ATL,10,12,10.8181818182,0.5749595746
12,Alfred Morris,WAS,  vs.  JAC,5,19,12.1818181818,3.2978831177
13,Andre Ellington,ARI,  at  NYG,11,21,15.0909090909,2.9681504941
14,Doug Martin,TB,  vs.  STL,12,25,15.5454545455,3.6522380776
15,C.J. Spiller,NO,  at  CLE,11,21,17,3.1622776602
16,Rashad Jennings,NYG,  vs.  ARI,13,28,17.6363636364,4.5978794969
17,Shane Vereen,NYG,  vs.  ARI,12,23,17.8181818182,3.4063625446
18,Ryan Mathews,PHI,  at  IND,16,23,17.9090909091,1.9750509984
19,Frank Gore,IND,  vs.  PHI,14,25,18.6363636364,2.9931050242
20,Knowshon Moreno,FA,,12,26,19.4545454545,3.5512772699
21,Reggie Bush,SF,  vs.  CHI,14,26,20.4545454545,3.8697812098
22,Zac Stacy,NYJ,  at  GB,14,27,21.0909090909,3.342686602
23,Joique Bell,DET,  at  CAR,14,24,21.2727272727,3.0775110691
24,Chris Johnson,FA,,19,27,22.9090909091,2.2745447279
25,Toby Gerhart,JAC,  at  WAS,15,31,23.0909090909,4.6014729945
26,Steven Jackson,FA,,24,33,27.8181818182,2.5873180856
27,Fred Jackson,BUF,  vs.  MIA,23,44,30.2727272727,5.5282893802
28,Darren Sproles,PHI,  at  IND,23,39,30.3636363636,5.2617440467
29,Mark Ingram,NO,  at  CLE,23,44,31,5.4439290624
30,Pierre Thomas,FA,,26,50,32,6.2377151994
31,Stevan Ridley,NYJ,  at  GB,26,48,33.3636363636,5.5966341715
32,Bernard Pierce,JAC,  at  WAS,28,40,33.4545454545,2.9345477076
33,Trent Richardson,OAK,  vs.  HOU,25,46,34.2727272727,7.4111820808
34,Ben Tate,FA,,26,43,34.5454545455,5.0697612704
35,Terrance West,CLE,  vs.  NO,28,49,36.1818181818,5.9055933705
36,Lamar Miller,MIA,  at  BUF,28,42,36.4545454545,3.7986513483
37,Christopher Ivory,NYJ,  at  GB,27,51,38,6.2957417066
38,Bishop Sankey,TEN,  vs.  DAL,27,50,38,6.0302268916
39,DeAngelo Williams,PIT,  at  BAL,28,47,40.2727272727,5.4119549331
40,Carlos Hyde,SF,  vs.  CHI,30,52,40.6363636364,5.7092067157
41,Jeremy Hill,CIN,  vs.  ATL,32,55,42.0909090909,6.0521152644
42,Shonn Greene,FA,,35,49,42.0909090909,3.9875840363
43,Danny Woodhead,SD,  vs.  SEA,30,48,42.4545454545,4.5996765966
44,Justin Forsett,BAL,  vs.  PIT,34,46,41.7,3.7161808352
45,Ahmad Bradshaw,FA,,32,63,44.7272727273,8.1474023645
46,Khiry Robinson,NO,  at  CLE,35,60,47.2727272727,6.648183745
47,Darren McFadden,DAL,  at  TEN,38,63,49.3636363636,6.0643927564
48,Christine Michael,SEA,  at  SD,38,104,56.7777777778,18.2621513749
49,Benny Cunningham,STL,  at  TB,44,54,49.9,3.7802116343
50,Devonta Freeman,ATL,  at  CIN,40,62,52.4545454545,6.169774364
51,Isaiah Crowell,CLE,  vs.  NO,42,71,55.3,8.8887569435
52,Jonathan Stewart,CAR,  vs.  DET,46,56,52.0909090909,3.5536036883
53,Andre Williams,NYG,  vs.  ARI,41,62,52.7272727273,5.4119549331
54,Tre Mason,STL,  at  TB,42,137,66.5,28.1824413421
55,James Starks,GB,  vs.  NYJ,46,70,57.5,7.6321687612
56,Jonathan Dwyer,FA,,47,67,55.6666666667,5.0332229568
57,Bobby Rainey,TB,  vs.  STL,48,63,55.5,4.5661800227
58,Lorenzo Taliaferro,BAL,  vs.  PIT,48,81,63.4,9.2217135067
59,Dexter McCluster,TEN,  vs.  DAL,49,73,58,5.9329587897
60,Lance Dunbar,DAL,  at  TEN,50,68,60,5.0793700397
61,LeGarrette Blount,NE,  at  MIN,50,62,57.2727272727,4.024717022
62,Knile Davis,KC,  at  DEN,51,69,61.2,4.8332183894
63,Chris Polk,HOU,  at  OAK,53,83,67.625,9.835363491
64,James White,NE,  at  MIN,53,83,68,10.0399203184
65,Mike James,TB,  vs.  STL,54,88,66.5,9.5131487952
66,Roy Helu,OAK,  vs.  HOU,54,73,62.2,5.2115256883
67,Jonathan Grimes,HOU,  at  OAK,54,70,66.7142857143,5.256676998
68,Jacquizz Rodgers,CHI,  at  SF,54,69,61.7,5.0209560843
69,Donald Brown,SD,  vs.  SEA,55,70,64.1,4.8466483264
70,Jordan Todman,CAR,  vs.  DET,56,79,70.3333333333,6.5996632911
71,Ronnie Hillman,DEN,  vs.  KC,57,82,66.5,7.2972597597
72,Matt Asiata,MIN,  vs.  NE,58,75,69.5,6.7268120235
73,Mike Tolbert,CAR,  vs.  DET,58,74,67.3,4.8795491595
74,C.J. Anderson,DEN,  vs.  KC,59,76,68.8,5.5821142948
75,Marcel Reece,OAK,  vs.  HOU,60,77,69,5.3184315626
76,Stepfan Taylor,ARI,  at  NYG,64,87,72.6,8.0894993665
77,Dri Archer,PIT,  at  BAL,64,79,72.6666666667,6.3420991968
78,Robert Turbin,SEA,  at  SD,64,75,70.375,4.5259667476
79,Denard Robinson,JAC,  at  WAS,67,76,70.3333333333,4.0276819912
80,De'Anthony Thomas,KC,  at  DEN,69,78,73.5,4.5
81,Ka'Deem Carey,CHI,  at  SF,69,76,71.6666666667,3.0912061652
82,Antone Smith,ATL,  at  CIN,71,89,80,9
83,Brandon Bolden,NE,  at  MIN,71,77,74,2.4494897428
84,Theo Riddick,DET,  at  CAR,76,86,79.6666666667,4.4969125211
