,,,,,,,
FantasyPros.com , ,,,,,,
Week 2 - TE Rankings , ,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Jimmy Graham,SEA,  at  SD,1,2,1.0909090909,0.2874797873
2,Julius Thomas,JAC,  at  WAS,1,3,2.3636363636,0.6428243465
3,Rob Gronkowski,NE,  at  MIN,2,4,2.6363636364,0.6428243465
4,Vernon Davis,SF,  vs.  CHI,3,9,5.2727272727,1.6006197147
5,Greg Olsen,CAR,  vs.  DET,4,13,5.9090909091,2.3914448069
6,Jordan Cameron,MIA,  at  BUF,4,11,6.3636363636,2.2268088571
7,Jason Witten,DAL,  at  TEN,4,10,6.7272727273,1.5427784317
8,Dennis Pitta,BAL,  vs.  PIT,5,11,8.2727272727,1.7104443384
9,Zach Ertz,PHI,  at  IND,6,12,9,1.7056057308
10,Kyle Rudolph,MIN,  vs.  NE,5,12,9.4545454545,2.0610516452
11,Martellus Bennett,CHI,  at  SF,8,17,10.9090909091,2.3531234737
12,Jordan Reed,WAS,  vs.  JAC,12,29,14,4.8053001041
13,Antonio Gates,SD,  vs.  SEA,9,18,13.6363636364,2.3070140983
14,Charles Clay,BUF,  vs.  MIA,9,16,13.5454545455,2.2709083631
15,Delanie Walker,TEN,  vs.  DAL,8,22,15.2727272727,3.1360342383
16,Dwayne Allen,IND,  vs.  PHI,10,31,18.9090909091,5.6319630915
17,Heath Miller,PIT,  at  BAL,13,23,16.8181818182,2.8862741575
18,Eric Ebron,DET,  at  CAR,12,35,22.1818181818,6.6717611389
19,Jermaine Gresham,ARI,  at  NYG,15,37,24.7,6.6940271885
20,Garrett Graham,HOU,  at  OAK,15,31,22.6,4.5650848842
21,Travis Kelce,KC,  at  DEN,15,21,18.2,2.0396078054
22,Coby Fleener,IND,  vs.  PHI,16,36,24.2727272727,5.8011113213
23,Ladarius Green,SD,  vs.  SEA,16,24,20.5454545455,2.3879864612
24,Tyler Eifert,CIN,  vs.  ATL,17,39,28.875,7.0964339636
25,Tim Wright,TB,  vs.  STL,18,41,26.7,6.1163714733
26,Levine Toilolo,ATL,  at  CIN,18,37,24.0909090909,5.2302363141
27,Jared Cook,STL,  at  TB,18,27,22.4545454545,2.5712973861
28,Marcedes Lewis,JAC,  at  WAS,20,28,24,2.7202941017
29,Austin Seferian-Jenkins,TB,  vs.  STL,21,41,28.1,4.8672374095
30,Brent Celek,PHI,  at  IND,21,39,30.1111111111,5.4862341758
31,Larry Donnell,NYG,  vs.  ARI,21,35,28.1428571429,4.6114321119
32,Brandon Myers,TB,  vs.  STL,23,46,32.4444444444,6.4310205016
33,Scott Chandler,NE,  at  MIN,24,38,30.75,4.4651427749
34,Richard Rodgers,GB,  vs.  NYJ,25,44,33.125,5.7973593127
35,Mychal Rivera,OAK,  vs.  HOU,27,41,34.25,6.7592529173
36,Brandon Pettigrew,DET,  at  CAR,27,38,33.6666666667,4.7842333648
37,Andrew Quarless,GB,  vs.  NYJ,28,54,38,10.559356041
38,Jace Amaro,NYJ,  at  GB,28,45,35.8571428571,5.5915387974
39,Jeff Cumberland,NYJ,  at  GB,28,36,33.2,2.9257477677
40,Joseph Fauria,DET,  at  CAR,28,34,30.4,2.0591260282
41,Zach Miller,FA,,30,43,35,4.8476798574
42,Anthony Fasano,TEN,  vs.  DAL,30,40,36.5,3.905124838
43,Ryan Griffin,HOU,  at  OAK,33,63,48,15
44,Brandon Bostick,MIN,  vs.  NE,33,47,40,7
45,Owen Daniels,DEN,  vs.  KC,34,47,41.25,5.1173723726
46,Gavin Escobar,DAL,  at  TEN,39,40,39.5,0.5
47,Rob Housler,CLE,  vs.  NO,40,48,44,4
48,David Ausberry,DET,  at  CAR,42,68,55,13
49,Vance McDonald,SF,  vs.  CHI,42,62,52,10
50,Lance Kendricks,STL,  at  TB,43,46,44,1.4142135624
51,Troy Niklas,ARI,  at  NYG,44,69,56.5,12.5
52,Adrien Robinson,NYG,  vs.  ARI,48,92,70,22
53,Ed Dickson,CAR,  vs.  DET,49,57,53,4
54,Bear Pascoe,CHI,  at  SF,50,73,61.5,11.5
