,,,,,,,
FantasyPros.com , ,,,,,,
Week 2 - WR Rankings , ,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Calvin Johnson,DET,  at  CAR,1,2,1.0909090909,0.2874797873
2,Demaryius Thomas,DEN,  vs.  KC,1,3,2,0.4264014327
3,Dez Bryant,DAL,  at  TEN,3,6,3.4545454545,0.9875254992
4,A.J. Green,CIN,  vs.  ATL,2,6,4,0.9534625892
5,Julio Jones,ATL,  at  CIN,4,6,5,0.7385489459
6,Brandon Marshall,NYJ,  at  GB,4,7,5.6363636364,0.8813963377
7,Antonio Brown,PIT,  at  BAL,6,9,7.2727272727,0.7496555683
8,Jordy Nelson,GB,  vs.  NYJ,7,9,8.1818181818,0.5749595746
9,Alshon Jeffery,CHI,  at  SF,6,10,8.4545454545,1.0756508697
10,Randall Cobb,GB,  vs.  NYJ,10,12,10.4545454545,0.6555547774
11,Vincent Jackson,TB,  vs.  STL,10,15,11.7272727273,1.2856486931
12,Pierre Garcon,WAS,  vs.  JAC,9,22,13.1818181818,3.0694441848
13,Andre Johnson,IND,  vs.  PHI,11,23,14.7272727273,3.249920533
14,Roddy White,ATL,  at  CIN,10,19,15,2.6628760938
15,Keenan Allen,SD,  vs.  SEA,12,23,15.3636363636,2.9317300903
16,Michael Floyd,ARI,  at  NYG,10,33,16.5454545455,5.6143264206
17,Percy Harvin,BUF,  vs.  MIA,12,25,17.6363636364,3.3377381365
18,Cordarrelle Patterson,MIN,  vs.  NE,13,24,18.3636363636,3.1122259579
19,Victor Cruz,NYG,  vs.  ARI,16,26,19.5454545455,2.5356955784
20,Larry Fitzgerald,ARI,  at  NYG,15,25,20.3636363636,2.4962782214
21,Mike Wallace,MIN,  vs.  NE,14,38,22.2727272727,5.5610808153
22,Michael Crabtree,OAK,  vs.  HOU,15,36,23,5.7524698253
23,DeSean Jackson,WAS,  vs.  JAC,18,30,23.1818181818,3.7372372347
24,Emmanuel Sanders,DEN,  vs.  KC,20,29,23.8181818182,2.8862741575
25,Julian Edelman,NE,  at  MIN,19,29,24.3636363636,2.6721706285
26,Torrey Smith,SF,  vs.  CHI,20,34,26.0909090909,3.5790944882
27,Jeremy Maclin,KC,  at  DEN,14,31,26.5454545455,4.4182192292
28,Ty Hilton,IND,  vs.  PHI,21,35,28,3.1622776602
29,Marques Colston,NO,  at  CLE,24,35,28.3636363636,2.9317300903
30,Reggie Wayne,FA,,21,34,29.3636363636,4.0061935521
31,Kendall Wright,TEN,  vs.  DAL,25,34,29.9090909091,2.7120788891
32,Brandin Cooks,NO,  at  CLE,26,47,32.5454545455,5.630495479
33,Kelvin Benjamin,CAR,  vs.  DET,29,42,34.0909090909,3.5536036883
34,Eric Decker,NYJ,  at  GB,28,52,34.4545454545,5.9599212375
35,Terrance Williams,DAL,  at  TEN,31,37,34.7272727273,1.8136306676
36,Golden Tate,DET,  at  CAR,30,40,36.2727272727,2.7990553306
37,Justin Hunter,TEN,  vs.  DAL,35,57,38.1818181818,6.0575749996
38,Greg Jennings,MIA,  at  BUF,32,49,40.8181818182,4.7447230366
39,Mike Evans,TB,  vs.  STL,38,50,41.5454545455,4.0082559427
40,DeAndre Hopkins,HOU,  at  OAK,37,49,42,3.7899388338
41,Markus Wheaton,PIT,  at  BAL,39,44,41.3,1.268857754
42,Dwayne Bowe,CLE,  vs.  NO,36,54,44.0909090909,4.378761665
43,Steve Smith,BAL,  vs.  PIT,30,62,44.2727272727,7.9896627428
44,Sammy Watkins,BUF,  vs.  MIA,37,50,44.1818181818,3.6635348508
45,Cecil Shorts,HOU,  at  OAK,36,53,44.7272727273,5.0648684644
46,Anquan Boldin,SF,  vs.  CHI,40,56,44.9090909091,4.1221032905
47,Wes Welker,FA,,34,68,45.7777777778,9.2108363449
48,Riley Cooper,PHI,  at  IND,39,61,48.2727272727,6.2244519159
