SEA,GB,16,36,1
ATL,NO,34,37,1
BAL,CIN,23,16,1
CHI,BUF,23,20,1
HOU,WAS,6,17,1
KC,TEN,26,10,1
MIA,NE,20,33,1
NYJ,OAK,14,19,1
PHI,JAC,17,34,1
PIT,CLE,27,30,1
STL,MIN,34,6,1
DAL,SF,28,17,1
TB,CAR,20,14,1
DEN,IND,24,31,1
DET,NYG,14,35,1
ARI,SD,17,18,1
BAL,PIT,6,26,2
BUF,MIA,10,29,2
CAR,DET,7,24,2
CIN,ATL,10,24,2
CLE,NO,24,26,2
MIN,NE,30,7,2
NYG,ARI,25,14,2
TEN,DAL,26,10,2
WAS,JAC,10,41,2
SD,SEA,21,30,2
TB,STL,19,17,2
DEN,KC,17,24,2
GB,NYJ,24,31,2
OAK,HOU,30,14,2
SF,CHI,28,20,2
IND,PHI,30,27,2
ATL,TB,14,56,3
BUF,SD,22,10,3
CIN,TEN,7,33,3
CLE,BAL,23,21,3
DET,GB,7,19,3
JAC,IND,44,17,3
NE,OAK,9,16,3
NO,MIN,9,20,3
NYG,HOU,17,30,3
PHI,WAS,34,37,3
STL,DAL,34,31,3
ARI,SF,14,23,3
MIA,KC,34,15,3
SEA,DEN,20,26,3
CAR,PIT,37,19,3
NYJ,CHI,27,19,3
WAS,NYG,45,14,4
BAL,CAR,10,38,4
CHI,GB,38,17,4
HOU,BUF,17,23,4
IND,TEN,17,41,4
MIN,ATL,28,41,4
NYJ,DET,24,17,4
OAK,MIA,38,14,4
PIT,TB,27,24,4
SD,JAC,14,33,4
SF,PHI,21,26,4
DAL,NO,17,38,4
KC,NE,14,41,4
GB,MIN,10,42,5
CAR,CHI,24,31,5
DAL,HOU,17,20,5
DET,BUF,17,14,5
IND,BAL,13,20,5
JAC,PIT,17,9,5
NO,TB,31,37,5
NYG,ATL,20,30,5
PHI,STL,28,34,5
TEN,CLE,29,28,5
DEN,ARI,20,41,5
SD,NYJ,0,31,5
SF,KC,17,22,5
NE,CIN,17,43,5
WAS,SEA,27,17,5
HOU,IND,33,28,6
ATL,CHI,27,13,6
BUF,NE,37,22,6
CIN,CAR,37,37,6
CLE,PIT,10,31,6
MIA,GB,27,24,6
MIN,DET,17,3,6
NYJ,DEN,31,17,6
TB,BAL,48,17,6
TEN,JAC,14,16,6
OAK,SD,31,28,6
ARI,WAS,20,30,6
SEA,DAL,30,23,6
PHI,NYG,0,27,6
STL,SF,31,17,6
NE,NYJ,25,27,7
BAL,ATL,7,29,7
BUF,MIN,16,17,7
CHI,MIA,27,14,7
DET,NO,23,24,7
GB,CAR,17,38,7
IND,CIN,0,27,7
JAC,CLE,6,24,7
STL,SEA,26,28,7
WAS,TEN,17,19,7
SD,KC,23,20,7
DAL,NYG,21,31,7
OAK,ARI,24,13,7
DEN,SF,17,42,7
PIT,HOU,23,30,7
DEN,SD,21,35,8
ATL,DET,22,21,8
CAR,SEA,13,9,8
CIN,BAL,24,27,8
JAC,MIA,27,13,8
KC,STL,7,34,8
NE,CHI,23,51,8
NYJ,BUF,43,23,8
TB,MIN,19,13,8
TEN,HOU,30,16,8
ARI,PHI,20,24,8
CLE,OAK,13,23,8
PIT,IND,34,51,8
NO,GB,23,44,8
DAL,WAS,20,17,8
CAR,NO,28,10,9
CIN,JAC,23,33,9
CLE,TB,17,22,9
DAL,ARI,28,17,9
HOU,PHI,31,21,9
KC,NYJ,10,24,9
MIA,SD,0,37,9
MIN,WAS,26,29,9
SF,STL,13,10,9
NE,DEN,21,43,9
SEA,OAK,24,30,9
PIT,BAL,23,43,9
NYG,IND,40,24,9
CIN,CLE,24,3,10
BAL,TEN,7,21,10
BUF,KC,17,13,10
DET,MIA,16,20,10
JAC,DAL,31,17,10
NO,SF,27,24,10
NYJ,PIT,13,20,10
TB,ATL,27,17,10
OAK,DEN,41,17,10
ARI,STL,14,31,10
SEA,NYG,17,38,10
GB,CHI,14,55,10
PHI,CAR,21,45,10
MIA,BUF,9,22,11
CAR,ATL,19,17,11
CHI,MIN,13,21,11
CLE,HOU,23,7,11
GB,PHI,20,53,11
KC,SEA,20,24,11
NO,CIN,27,10,11
NYG,SF,16,10,11
STL,DEN,7,22,11
WAS,TB,27,7,11
SD,OAK,6,13,11
ARI,DET,6,14,11
IND,NE,42,20,11
TEN,PIT,27,24,11
OAK,KC,20,24,12
ATL,CLE,26,24,12
BUF,NYJ,3,38,12
CHI,TB,13,21,12
HOU,CIN,22,13,12
IND,JAC,3,23,12
MIN,GB,24,21,12
NE,DET,9,34,12
PHI,TEN,24,43,12
SD,STL,24,27,12
SEA,ARI,3,19,12
DEN,MIA,36,39,12
SF,WAS,13,17,12
NYG,DAL,31,28,12
NO,BAL,34,27,12
DET,CHI,17,34,13
DAL,PHI,33,10,13
SF,SEA,19,3,13
BAL,SD,34,33,13
BUF,CLE,10,26,13
HOU,TEN,21,45,13
IND,WAS,27,49,13
JAC,NYG,24,25,13
MIN,CAR,13,31,13
PIT,NO,35,32,13
STL,OAK,0,52,13
TB,CIN,14,13,13
ATL,ARI,18,29,13
GB,NE,21,26,13
KC,DEN,29,16,13
NYJ,MIA,16,13,13
CHI,DAL,41,28,14
CIN,PIT,42,21,14
CLE,IND,25,24,14
DET,TB,17,34,14
JAC,HOU,27,13,14
MIA,BAL,28,13,14
MIN,NYJ,24,30,14
NO,CAR,41,10,14
TEN,NYG,36,7,14
WAS,STL,24,0,14
ARI,KC,14,17,14
DEN,BUF,17,24,14
OAK,SF,13,24,14
PHI,SEA,24,14,14
SD,NE,23,14,14
GB,ATL,37,43,14
STL,ARI,12,6,15
ATL,PIT,27,20,15
BAL,JAC,12,20,15
BUF,GB,13,21,15
CAR,TB,17,19,15
CLE,CIN,30,0,15
DET,MIN,14,16,15
IND,HOU,10,17,15
KC,OAK,13,31,15
NE,MIA,13,41,15
NYG,WAS,13,24,15
SD,DEN,22,10,15
TEN,NYJ,16,11,15
SEA,SF,7,17,15
PHI,DAL,38,27,15
CHI,NO,31,15,15
JAC,TEN,13,21,16
WAS,PHI,24,27,16
SF,SD,38,35,16
CAR,CLE,13,17,16
CHI,DET,20,14,16
HOU,BAL,13,25,16
MIA,MIN,35,37,16
NO,ATL,30,14,16
NYJ,NE,17,16,16
PIT,KC,12,20,16
TB,GB,20,3,16
STL,NYG,37,27,16
DAL,IND,7,42,16
OAK,BUF,24,26,16
ARI,SEA,35,6,16
CIN,DEN,28,37,16
